Scheme,θ,H,W,I,ΔP,UI
1,30,0.8,0.6,0.90651,33.501,0.09087
2,30,0.8,0.8,0.90559,25.545,0.07356
3,30,0.8,1,0.90042,21.586,0.06399
4,30,1,0.6,0.90863,29.709,0.07706
5,30,1,0.8,0.90733,21.16,0.06234
6,30,1,1,0.90175,17.034,0.05474
7,30,1.2,0.6,0.90946,27.534,0.03985
8,30,1.2,0.8,0.90776,18.674,0.05718
9,30,1.2,1,0.90221,14.518,0.05069
10,60,0.8,0.6,0.89654,32.602,0.0866
11,60,0.8,0.8,0.89361,25.068,0.07471
12,60,0.8,1,0.88902,21.218,0.05968
13,60,1,0.6,0.89889,28.235,0.07252
14,60,1,0.8,0.89497,20.731,0.06205
15,60,1,1,0.8904,16.819,0.05085
16,60,1.2,0.6,0.89987,26.332,0.06511
17,60,1.2,0.8,0.89558,18.424,0.05324
18,60,1.2,1,0.89085,14.347,0.04052
19,90,0.8,0.6,0.89785,32.412,0.08478
20,90,0.8,0.8,0.89415,24.948,0.0681
21,90,0.8,1,0.8897,21.216,0.05871
22,90,1,0.6,0.90035,28.302,0.07055
23,90,1,0.8,0.89604,20.706,0.0574
24,90,1,1,0.89121,16.86,0.04985
25,90,1.2,0.6,0.90139,26.45,0.06346
26,90,1.2,0.8,0.89673,18.484,0.05198
27,90,1.2,1,0.89167,14.419,0.044547
28,120,0.8,0.6,0.89813,32.461,0.08455
29,120,0.8,0.8,0.8944,24.89,0.06777
30,120,0.8,1,0.88989,21.168,0.05847
31,120,1,0.6,0.90066,28.227,0.0702
32,120,1,0.8,0.89629,20.704,0.05717
33,120,1,1,0.89136,16.829,0.04972
34,120,1.2,0.6,0.90171,26.293,0.06297
35,120,1.2,0.8,0.89702,18.501,0.05177
36,120,1.2,1,0.89185,14.39,0.04522
