hierarchy_model,hierarchy_element,principal_eigenvector,priority_vector_distance
B1,B1:TA10,0.10472943388074785,2.850376317693109e-32
B1,B1:TA3,0.25828499437449515,2.850376317693109e-32
B1,B1:TA36,0.6369855717447571,2.850376317693109e-32
B2,B2:TA10,0.2582849943744949,1.560003254953661e-32
B2,B2:TA3,0.10472943388074789,1.560003254953661e-32
B2,B2:TA36,0.6369855717447572,1.560003254953661e-32
B3,B3:TA10,0.10472943388074785,2.850376317693109e-32
B3,B3:TA3,0.25828499437449515,2.850376317693109e-32
B3,B3:TA36,0.6369855717447571,2.850376317693109e-32
B4,B4:TA10,0.15705578941099332,2.0029671421627253e-32
B4,B4:TA3,0.2493105253287067,2.0029671421627253e-32
B4,B4:TA36,0.5936336852603,2.0029671421627253e-32
B5,B5:TA10,0.08794620881905606,1.3288916616271927e-32
B5,B5:TA3,0.24263692173195625,1.3288916616271927e-32
B5,B5:TA36,0.6694168694489876,1.3288916616271927e-32
B6,B6:TA10,0.15705578941099332,2.0029671421627253e-32
B6,B6:TA3,0.2493105253287067,2.0029671421627253e-32
B6,B6:TA36,0.5936336852603,2.0029671421627253e-32
B7,B7:TA10,0.25828499437449487,2.484449628259534e-32
B7,B7:TA3,0.6369855717447572,2.484449628259534e-32
B7,B7:TA36,0.10472943388074789,2.484449628259534e-32
B8,B8:TA10,0.12202019211512619,7.703719777548943e-34
B8,B8:TA3,0.2296507940626371,7.703719777548943e-34
B8,B8:TA36,0.6483290138222366,7.703719777548943e-34
B9,B9:TA10,0.10472943388074785,2.850376317693109e-32
B9,B9:TA3,0.25828499437449515,2.850376317693109e-32
B9,B9:TA36,0.6369855717447571,2.850376317693109e-32
TA_opt,TA_opt:B1,0.1435802159552098,5.4725518627475345e-05
TA_opt,TA_opt:B2,0.04624465526611974,5.4725518627475345e-05
TA_opt,TA_opt:B3,0.11546451505709625,5.4725518627475345e-05
TA_opt,TA_opt:B4,0.03533479012489292,5.4725518627475345e-05
TA_opt,TA_opt:B5,0.0875739372220139,5.4725518627475345e-05
TA_opt,TA_opt:B6,0.08529194590338568,5.4725518627475345e-05
TA_opt,TA_opt:B7,0.07109867485940818,5.4725518627475345e-05
TA_opt,TA_opt:B8,0.37932789840227904,5.4725518627475345e-05
TA_opt,TA_opt:B9,0.036083367209594465,5.4725518627475345e-05
