hierarchy_model,consistency_index,consistency_ratio,principal_eigenvalue,reciprocal_matrix_order
B1,0.019255545279084574,0.03940156594860768,3.038511090558169,3
B2,0.019255545279084574,0.03940156594860768,3.038511090558169,3
B3,0.019255545279084574,0.03940156594860768,3.038511090558169,3
B4,0.026810787939487657,0.05486144452524587,3.0536215758789753,3
B5,0.0035108825649670106,0.007184126386263577,3.007021765129934,3
B6,0.026810787939487657,0.05486144452524587,3.0536215758789753,3
B7,0.019255545279084796,0.039401565948608136,3.0385110905581696,3
B8,0.0018472990318203486,0.0037800266662990556,3.0036945980636407,3
B9,0.019255545279084574,0.03940156594860768,3.038511090558169,3
TA_opt,0.07021326091034874,0.05112740181340475,9.56170608728279,9
