hierarchy_model,reference_factor,comparative_factor,importance
B1,TA3,TA10,3
B1,TA36,TA3,3
B1,TA36,TA10,5
B2,TA10,TA3,3
B2,TA36,TA3,5
B2,TA36,TA10,3
B3,TA3,TA10,3
B3,TA36,TA3,3
B3,TA36,TA10,5
B4,TA3,TA10,2
B4,TA36,TA3,3
B4,TA36,TA10,3
B5,TA3,TA10,3
B5,TA36,TA3,3
B5,TA36,TA10,7
B6,TA3,TA10,2
B6,TA36,TA3,3
B6,TA36,TA10,3
B7,TA3,TA10,3
B7,TA3,TA36,5
B7,TA10,TA36,3
B8,TA3,TA10,2
B8,TA36,TA3,3
B8,TA36,TA10,5
B9,TA3,TA10,3
B9,TA36,TA3,3
B9,TA36,TA10,5
target,B1,B2,4
target,B1,B3,2
target,B1,B4,4
target,B1,B5,2
target,B1,B6,2
target,B1,B7,2
target,B1,B9,3
target,B2,B4,1
target,B2,B6,1
target,B2,B9,2
target,B3,B2,3
target,B3,B4,3
target,B3,B5,2
target,B3,B6,2
target,B3,B7,2
target,B3,B9,3
target,B5,B2,3
target,B5,B4,3
target,B5,B6,1
target,B5,B7,2
target,B5,B9,2
target,B6,B4,5
target,B6,B7,2
target,B6,B9,2
target,B7,B2,3
target,B7,B4,3
target,B7,B9,2
target,B8,B1,5
target,B8,B2,5
target,B8,B3,5
target,B8,B4,5
target,B8,B5,5
target,B8,B6,5
target,B8,B7,5
target,B8,B9,9
target,B9,B4,1
